task_id,model,dataset,setting,gpu_name,label,logloss,AUC
26,HyFormer,MerRec_Action,baseline,NVIDIA H100 80GB HBM3,Purchase,0.003614,0.846507
27,HyFormer,MerRec_Action,sisa,NVIDIA H100 80GB HBM3,Like,0.322929,0.75901
27,HyFormer,MerRec_Action,sisa,NVIDIA H100 80GB HBM3,Cart,0.052342,0.813835
27,HyFormer,MerRec_Action,sisa,NVIDIA H100 80GB HBM3,Offer,0.021918,0.745556
27,HyFormer,MerRec_Action,sisa,NVIDIA H100 80GB HBM3,Checkout,0.005343,0.856995
27,HyFormer,MerRec_Action,sisa,NVIDIA H100 80GB HBM3,Purchase,0.003653,0.855258
28,UltraHSTU,QK_Video_Action,baseline,NVIDIA H100 80GB HBM3,click,0.247528,0.936245
28,UltraHSTU,QK_Video_Action,baseline,NVIDIA H100 80GB HBM3,follow,0.004938,0.921606
28,UltraHSTU,QK_Video_Action,baseline,NVIDIA H100 80GB HBM3,like,0.036024,0.94969
28,UltraHSTU,QK_Video_Action,baseline,NVIDIA H100 80GB HBM3,share,0.005259,0.936002
29,UltraHSTU,QK_Video_Action,sisa,NVIDIA H100 80GB HBM3,click,0.247872,0.935973
29,UltraHSTU,QK_Video_Action,sisa,NVIDIA H100 80GB HBM3,follow,0.004971,0.919087
29,UltraHSTU,QK_Video_Action,sisa,NVIDIA H100 80GB HBM3,like,0.036209,0.949437
29,UltraHSTU,QK_Video_Action,sisa,NVIDIA H100 80GB HBM3,share,0.0053,0.934377
30,UltraHSTU,KuaiRand_Video_Action,baseline,NVIDIA H100 80GB HBM3,is_click,0.596708,0.765052
30,UltraHSTU,KuaiRand_Video_Action,baseline,NVIDIA H100 80GB HBM3,is_follow,0.006195,0.874827
30,UltraHSTU,KuaiRand_Video_Action,baseline,NVIDIA H100 80GB HBM3,is_like,0.054039,0.923156
30,UltraHSTU,KuaiRand_Video_Action,baseline,NVIDIA H100 80GB HBM3,is_comment,0.014814,0.894262
30,UltraHSTU,KuaiRand_Video_Action,baseline,NVIDIA H100 80GB HBM3,is_forward,0.005659,0.865946
30,UltraHSTU,KuaiRand_Video_Action,baseline,NVIDIA H100 80GB HBM3,long_view,0.479429,0.792441
31,UltraHSTU,KuaiRand_Video_Action,sisa,NVIDIA H100 80GB HBM3,is_click,0.542822,0.792992
31,UltraHSTU,KuaiRand_Video_Action,sisa,NVIDIA H100 80GB HBM3,is_follow,0.00615,0.880072
31,UltraHSTU,KuaiRand_Video_Action,sisa,NVIDIA H100 80GB HBM3,is_like,0.053847,0.926349
31,UltraHSTU,KuaiRand_Video_Action,sisa,NVIDIA H100 80GB HBM3,is_comment,0.014761,0.895917
31,UltraHSTU,KuaiRand_Video_Action,sisa,NVIDIA H100 80GB HBM3,is_forward,0.005625,0.873586
31,UltraHSTU,KuaiRand_Video_Action,sisa,NVIDIA H100 80GB HBM3,long_view,0.444964,0.813989
32,UltraHSTU,TencentGR_10M_Action,baseline,NVIDIA H100 80GB HBM3,is_click,0.057459,0.845543
32,UltraHSTU,TencentGR_10M_Action,baseline,NVIDIA H100 80GB HBM3,is_conversion,0.019419,0.89312
33,UltraHSTU,TencentGR_10M_Action,sisa,NVIDIA H100 80GB HBM3,is_click,0.0577,0.843706
33,UltraHSTU,TencentGR_10M_Action,sisa,NVIDIA H100 80GB HBM3,is_conversion,0.01983,0.891606
34,UltraHSTU,Taobao_Action,baseline,NVIDIA H100 80GB HBM3,is_click,0.186999,0.636081
34,UltraHSTU,Taobao_Action,baseline,NVIDIA H100 80GB HBM3,cart,0.017644,0.831735
34,UltraHSTU,Taobao_Action,baseline,NVIDIA H100 80GB HBM3,fav,0.013282,0.85337
34,UltraHSTU,Taobao_Action,baseline,NVIDIA H100 80GB HBM3,buy,0.006094,0.854761
35,UltraHSTU,Taobao_Action,sisa,NVIDIA H100 80GB HBM3,is_click,0.18703,0.636907
35,UltraHSTU,Taobao_Action,sisa,NVIDIA H100 80GB HBM3,cart,0.018055,0.834827
35,UltraHSTU,Taobao_Action,sisa,NVIDIA H100 80GB HBM3,fav,0.013156,0.858017
35,UltraHSTU,Taobao_Action,sisa,NVIDIA H100 80GB HBM3,buy,0.006139,0.856786
36,UltraHSTU,MerRec_Action,baseline,NVIDIA H100 80GB HBM3,Like,0.338686,0.734116
36,UltraHSTU,MerRec_Action,baseline,NVIDIA H100 80GB HBM3,Cart,0.053754,0.796562
36,UltraHSTU,MerRec_Action,baseline,NVIDIA H100 80GB HBM3,Offer,0.02121,0.758009
36,UltraHSTU,MerRec_Action,baseline,NVIDIA H100 80GB HBM3,Checkout,0.005819,0.848994
36,UltraHSTU,MerRec_Action,baseline,NVIDIA H100 80GB HBM3,Purchase,0.003688,0.84876
37,UltraHSTU,MerRec_Action,sisa,NVIDIA H100 80GB HBM3,Like,0.328136,0.7502
37,UltraHSTU,MerRec_Action,sisa,NVIDIA H100 80GB HBM3,Cart,0.052496,0.811238
37,UltraHSTU,MerRec_Action,sisa,NVIDIA H100 80GB HBM3,Offer,0.021059,0.769176
37,UltraHSTU,MerRec_Action,sisa,NVIDIA H100 80GB HBM3,Checkout,0.005441,0.858484
37,UltraHSTU,MerRec_Action,sisa,NVIDIA H100 80GB HBM3,Purchase,0.003608,0.860975
