model,dataset,label,legacy_source,paper_auc,baseline_auc,baseline_delta_auc_vs_paper,sisa_mean_auc,sisa_std_auc,sisa_min_auc,sisa_max_auc,sisa_range_auc,sisa_mean_delta_auc_vs_baseline,sisa_mean_delta_auc_vs_paper,auc_mean_beats_baseline,auc_mean_beats_paper,auc_all_seeds_beat_baseline,auc_all_seeds_beat_paper,paper_logloss,baseline_logloss,baseline_delta_logloss_vs_paper,sisa_mean_logloss,sisa_std_logloss,sisa_min_logloss,sisa_max_logloss,sisa_range_logloss,sisa_mean_delta_logloss_vs_baseline,sisa_mean_delta_logloss_vs_paper,logloss_mean_beats_baseline,logloss_mean_beats_paper,logloss_all_seeds_beat_baseline,logloss_all_seeds_beat_paper,sisa_20262027_auc,sisa_20262027_logloss,sisa_20262028_auc,sisa_20262028_logloss,sisa_20262029_auc,sisa_20262029_logloss
HiFormer,MerRec_Action,Purchase,sisa_native_strict,0.8408,0.835563,-0.005237000000000047,0.838203,0.0075839071064985894,0.83307,0.846914,0.013843999999999967,0.0026400000000000867,-0.0025969999999999605,True,False,False,False,0.0077,0.008751,0.0010509999999999999,0.007609333333333333,0.0013754963952454888,0.006044,0.008625,0.002581000000000001,-0.0011416666666666667,-9.066666666666685e-05,True,True,True,False,0.83307,0.008159,0.846914,0.006044,0.834625,0.008625
HiFormer,QK_Video_Action,click,sisa_native_strict,0.9323,0.932306,5.999999999950489e-06,0.932011,0.0006425145912740084,0.931291,0.932526,0.0012349999999999861,-0.0002949999999999342,-0.0002889999999999837,False,False,False,False,0.2539,0.253972,7.199999999996098e-05,0.25431033333333336,0.0008919474947178008,0.25365,0.255325,0.0016750000000000376,0.0003383333333333849,0.0004103333333333459,False,False,False,False,0.932526,0.25365,0.931291,0.255325,0.932216,0.253956
HiFormer,QK_Video_Action,follow,sisa_native_strict,0.9185,0.919914,0.0014140000000000263,0.9136206666666666,0.000287571440399262,0.913352,0.913924,0.0005719999999999059,-0.006293333333333373,-0.004879333333333347,False,False,False,False,0.005,0.004997,-3.000000000000398e-06,0.005167666666666667,9.728480525412647e-05,0.005111,0.00528,0.00016899999999999988,0.00017066666666666706,0.00016766666666666666,False,False,False,False,0.913924,0.005111,0.913586,0.005112,0.913352,0.00528
HiFormer,QK_Video_Action,like,sisa_native_strict,0.9465,0.946691,0.00019099999999994122,0.9453876666666666,0.00012188655928092945,0.945247,0.945462,0.00021500000000007624,-0.001303333333333323,-0.0011123333333333818,False,False,False,False,0.0372,0.037272,7.200000000000262e-05,0.03755933333333333,0.00029743962972901534,0.037298,0.037883,0.0005850000000000022,0.0002873333333333339,0.0003593333333333365,False,False,False,False,0.945462,0.037298,0.945454,0.037497,0.945247,0.037883
HiFormer,QK_Video_Action,share,sisa_native_strict,0.9334,0.933742,0.00034199999999995345,0.9324003333333333,0.0008051970773253939,0.931627,0.933234,0.001607000000000025,-0.0013416666666666854,-0.000999666666666732,False,False,False,False,0.0053,0.005301,1.0000000000001327e-06,0.0054589999999999994,9.954396013822251e-05,0.005366,0.005564,0.00019800000000000026,0.0001579999999999993,0.00015899999999999942,False,False,False,False,0.93234,0.005366,0.933234,0.005447,0.931627,0.005564
HiFormer,TencentGR_10M_Action,is_click,sisa_expansion_acd,0.831,0.837502,0.006502000000000008,0.8493683333333334,0.0023830695191985993,0.846706,0.851302,0.0045960000000000445,0.011866333333333423,0.01836833333333343,True,True,True,True,0.0355,0.047367,0.011867000000000003,0.043819666666666666,0.003382159418675194,0.040661,0.047388,0.006726999999999997,-0.003547333333333333,0.00831966666666667,True,False,False,False,0.846706,0.040661,0.851302,0.04341,0.850097,0.047388
HiFormer,TencentGR_10M_Action,is_conversion,sisa_expansion_acd,0.873,0.872968,-3.2000000000032e-05,0.8890076666666666,0.001869618231975052,0.886886,0.890414,0.0035280000000000866,0.016039666666666674,0.016007666666666642,True,True,True,True,0.0177,0.01701,-0.0006899999999999996,0.016642333333333332,0.0012198648832281935,0.015246,0.017501,0.002255,-0.0003676666666666689,-0.0010576666666666686,True,True,False,True,0.886886,0.015246,0.890414,0.01718,0.889723,0.017501
HyFormer,KuaiRand_Video_Action,is_click,sisa_expansion_acd,0.7817,0.782927,0.0012270000000000891,0.7946779999999999,0.0013485069521511307,0.793189,0.795817,0.0026279999999999637,0.011750999999999845,0.012977999999999934,True,True,True,True,0.5412,0.540743,-0.0004570000000000407,0.5274636666666667,0.004745027853799489,0.524111,0.532893,0.008781999999999957,-0.01327933333333331,-0.01373633333333335,True,True,True,True,0.795817,0.525387,0.793189,0.532893,0.795028,0.524111
HyFormer,KuaiRand_Video_Action,is_comment,sisa_expansion_acd,0.8853,0.889771,0.004471000000000003,0.891433,0.0018138437088128926,0.889446,0.893,0.003554000000000057,0.0016620000000000523,0.006133000000000055,True,True,False,True,0.0151,0.015035,-6.500000000000082e-05,0.015042666666666668,0.0001931070514852664,0.014859,0.015244,0.0003849999999999999,7.666666666667973e-06,-5.733333333333285e-05,False,True,False,False,0.891853,0.014859,0.893,0.015244,0.889446,0.015025
HyFormer,KuaiRand_Video_Action,is_follow,sisa_expansion_acd,0.88,0.879855,-0.00014499999999995072,0.882623,0.005798965166303387,0.875987,0.886716,0.010728999999999989,0.0027679999999999927,0.002623000000000042,True,True,False,False,0.0066,0.006594,-5.999999999999929e-06,0.006301333333333333,5.052062285179519e-05,0.006261,0.006358,9.699999999999986e-05,-0.00029266666666666677,-0.0002986666666666667,True,True,True,True,0.886716,0.006261,0.885166,0.006285,0.875987,0.006358
