task_id,model,dataset,setting,gpu_type,job_task_id,label,logloss,AUC
20,RankMixer,Taobao_Action,baseline,rtx4090,14810_20,cart,0.020714,0.675781
20,RankMixer,Taobao_Action,baseline,rtx4090,14810_20,fav,0.015512,0.721372
20,RankMixer,Taobao_Action,baseline,rtx4090,14810_20,buy,0.007292,0.683724
21,RankMixer,Taobao_Action,sisa,rtx4090,14810_21,is_click,0.188708,0.604271
21,RankMixer,Taobao_Action,sisa,rtx4090,14810_21,cart,0.020731,0.675196
21,RankMixer,Taobao_Action,sisa,rtx4090,14810_21,fav,0.015515,0.72074
21,RankMixer,Taobao_Action,sisa,rtx4090,14810_21,buy,0.007303,0.682729
22,RankMixer,MerRec_Action,baseline,l40s,14811_22,Like,0.331885,0.744913
22,RankMixer,MerRec_Action,baseline,l40s,14811_22,Cart,0.053894,0.792999
22,RankMixer,MerRec_Action,baseline,l40s,14811_22,Offer,0.021398,0.728575
22,RankMixer,MerRec_Action,baseline,l40s,14811_22,Checkout,0.004732,0.836097
22,RankMixer,MerRec_Action,baseline,l40s,14811_22,Purchase,0.00305,0.840563
23,RankMixer,MerRec_Action,sisa,l40s,14811_23,Like,0.322562,0.759983
23,RankMixer,MerRec_Action,sisa,l40s,14811_23,Cart,0.05233,0.81089
23,RankMixer,MerRec_Action,sisa,l40s,14811_23,Offer,0.02141,0.732952
23,RankMixer,MerRec_Action,sisa,l40s,14811_23,Checkout,0.004693,0.83858
23,RankMixer,MerRec_Action,sisa,l40s,14811_23,Purchase,0.003033,0.838274
24,Zenith,QK_Video_Action,baseline,l40s,14811_24,click,0.252005,0.933477
24,Zenith,QK_Video_Action,baseline,l40s,14811_24,follow,0.005022,0.922279
24,Zenith,QK_Video_Action,baseline,l40s,14811_24,like,0.037439,0.947958
24,Zenith,QK_Video_Action,baseline,l40s,14811_24,share,0.005276,0.935961
25,Zenith,QK_Video_Action,sisa,l40s,14811_25,click,0.249782,0.93471
25,Zenith,QK_Video_Action,sisa,l40s,14811_25,follow,0.004978,0.923107
25,Zenith,QK_Video_Action,sisa,l40s,14811_25,like,0.037061,0.948299
25,Zenith,QK_Video_Action,sisa,l40s,14811_25,share,0.005265,0.936504
26,Zenith,KuaiRand_Video_Action,baseline,l40s,14854_26,is_click,0.538991,0.781888
26,Zenith,KuaiRand_Video_Action,baseline,l40s,14854_26,is_follow,0.006761,0.881683
26,Zenith,KuaiRand_Video_Action,baseline,l40s,14854_26,is_like,0.054321,0.928141
26,Zenith,KuaiRand_Video_Action,baseline,l40s,14854_26,is_comment,0.014788,0.897885
26,Zenith,KuaiRand_Video_Action,baseline,l40s,14854_26,is_forward,0.005649,0.871088
26,Zenith,KuaiRand_Video_Action,baseline,l40s,14854_26,long_view,0.459923,0.79729
27,Zenith,KuaiRand_Video_Action,sisa,l40s,14854_27,is_click,0.527799,0.792759
27,Zenith,KuaiRand_Video_Action,sisa,l40s,14854_27,is_follow,0.006251,0.890208
27,Zenith,KuaiRand_Video_Action,sisa,l40s,14854_27,is_like,0.053227,0.930466
27,Zenith,KuaiRand_Video_Action,sisa,l40s,14854_27,is_comment,0.014609,0.901214
27,Zenith,KuaiRand_Video_Action,sisa,l40s,14854_27,is_forward,0.005596,0.873619
27,Zenith,KuaiRand_Video_Action,sisa,l40s,14854_27,long_view,0.445069,0.810109
28,Zenith,Taobao_Action,baseline,l40s,14811_28,is_click,0.187359,0.622431
28,Zenith,Taobao_Action,baseline,l40s,14811_28,cart,0.019201,0.78248
28,Zenith,Taobao_Action,baseline,l40s,14811_28,fav,0.014666,0.799847
28,Zenith,Taobao_Action,baseline,l40s,14811_28,buy,0.006853,0.792465
29,Zenith,Taobao_Action,sisa,l40s,14811_29,is_click,0.187583,0.619763
29,Zenith,Taobao_Action,sisa,l40s,14811_29,cart,0.019057,0.785999
29,Zenith,Taobao_Action,sisa,l40s,14811_29,fav,0.014559,0.805541
29,Zenith,Taobao_Action,sisa,l40s,14811_29,buy,0.006768,0.798329
30,Zenith,MerRec_Action,baseline,l40s,14843_30,Like,0.329855,0.744505
30,Zenith,MerRec_Action,baseline,l40s,14843_30,Cart,0.053756,0.806908
30,Zenith,MerRec_Action,baseline,l40s,14843_30,Offer,0.022102,0.773288
30,Zenith,MerRec_Action,baseline,l40s,14843_30,Checkout,0.010226,0.852295
30,Zenith,MerRec_Action,baseline,l40s,14843_30,Purchase,0.006772,0.853223
31,Zenith,MerRec_Action,sisa,l40s,14846_31,Like,0.323222,0.759388
31,Zenith,MerRec_Action,sisa,l40s,14846_31,Cart,0.053028,0.814763
31,Zenith,MerRec_Action,sisa,l40s,14846_31,Offer,0.022682,0.766747
31,Zenith,MerRec_Action,sisa,l40s,14846_31,Checkout,0.010215,0.853138
31,Zenith,MerRec_Action,sisa,l40s,14846_31,Purchase,0.00688,0.852104
