task_id,model,dataset,setting,gpu_type,job_task_id,state,exit_code,status_evidence,protocol_valid,completion_marker,finite_metrics,error_count,complete,slurm_log,checkpoint_log,metrics_json
20,RankMixer,Taobao_Action,baseline,rtx4090,14810_20,COMPLETED_MARKER,0:0 (success marker),success_marker,True,True,True,0,True,logs/unirank-sisa-strict-14810_20.out,checkpoints/Taobao_Action/SISA_strict_RankMixer_Taobao_Action_baseline_seed20262027.log,"{""buy"": {""AUC"": 0.683724, ""logloss"": 0.007292}, ""cart"": {""AUC"": 0.675781, ""logloss"": 0.020714}, ""fav"": {""AUC"": 0.721372, ""logloss"": 0.015512}, ""is_click"": {""AUC"": 0.604445, ""logloss"": 0.188673}}"
21,RankMixer,Taobao_Action,sisa,rtx4090,14810_21,COMPLETED_MARKER,0:0 (success marker),success_marker,True,True,True,0,True,logs/unirank-sisa-strict-14810_21.out,checkpoints/Taobao_Action/SISA_strict_RankMixer_Taobao_Action_sisa_seed20262027.log,"{""buy"": {""AUC"": 0.682729, ""logloss"": 0.007303}, ""cart"": {""AUC"": 0.675196, ""logloss"": 0.020731}, ""fav"": {""AUC"": 0.72074, ""logloss"": 0.015515}, ""is_click"": {""AUC"": 0.604271, ""logloss"": 0.188708}}"
22,RankMixer,MerRec_Action,baseline,l40s,14811_22,COMPLETED_MARKER,0:0 (success marker),success_marker,True,True,True,0,True,logs/unirank-sisa-strict-14811_22.out,checkpoints/MerRec_Action/SISA_strict_RankMixer_MerRec_Action_baseline_seed20262027.log,"{""Cart"": {""AUC"": 0.792999, ""logloss"": 0.053894}, ""Checkout"": {""AUC"": 0.836097, ""logloss"": 0.004732}, ""Like"": {""AUC"": 0.744913, ""logloss"": 0.331885}, ""Offer"": {""AUC"": 0.728575, ""logloss"": 0.021398}, ""Purchase"": {""AUC"": 0.840563, ""logloss"": 0.00305}}"
23,RankMixer,MerRec_Action,sisa,l40s,14811_23,COMPLETED_MARKER,0:0 (success marker),success_marker,True,True,True,0,True,logs/unirank-sisa-strict-14811_23.out,checkpoints/MerRec_Action/SISA_strict_RankMixer_MerRec_Action_sisa_seed20262027.log,"{""Cart"": {""AUC"": 0.81089, ""logloss"": 0.05233}, ""Checkout"": {""AUC"": 0.83858, ""logloss"": 0.004693}, ""Like"": {""AUC"": 0.759983, ""logloss"": 0.322562}, ""Offer"": {""AUC"": 0.732952, ""logloss"": 0.02141}, ""Purchase"": {""AUC"": 0.838274, ""logloss"": 0.003033}}"
24,Zenith,QK_Video_Action,baseline,l40s,14811_24,COMPLETED_MARKER,0:0 (success marker),success_marker,True,True,True,0,True,logs/unirank-sisa-strict-14811_24.out,checkpoints/QK_Video_Action/SISA_strict_Zenith_QK_Video_Action_baseline_seed20262027.log,"{""click"": {""AUC"": 0.933477, ""logloss"": 0.252005}, ""follow"": {""AUC"": 0.922279, ""logloss"": 0.005022}, ""like"": {""AUC"": 0.947958, ""logloss"": 0.037439}, ""share"": {""AUC"": 0.935961, ""logloss"": 0.005276}}"
25,Zenith,QK_Video_Action,sisa,l40s,14811_25,COMPLETED_MARKER,0:0 (success marker),success_marker,True,True,True,0,True,logs/unirank-sisa-strict-14811_25.out,checkpoints/QK_Video_Action/SISA_strict_Zenith_QK_Video_Action_sisa_seed20262027.log,"{""click"": {""AUC"": 0.93471, ""logloss"": 0.249782}, ""follow"": {""AUC"": 0.923107, ""logloss"": 0.004978}, ""like"": {""AUC"": 0.948299, ""logloss"": 0.037061}, ""share"": {""AUC"": 0.936504, ""logloss"": 0.005265}}"
26,Zenith,KuaiRand_Video_Action,baseline,l40s,14854_26,COMPLETED_MARKER,0:0 (success marker),success_marker,True,True,True,0,True,logs/unirank-sisa-strict-14854_26.out,checkpoints/KuaiRand_Video_Action/SISA_strict_Zenith_KuaiRand_Video_Action_baseline_seed20262027.log,"{""is_click"": {""AUC"": 0.781888, ""logloss"": 0.538991}, ""is_comment"": {""AUC"": 0.897885, ""logloss"": 0.014788}, ""is_follow"": {""AUC"": 0.881683, ""logloss"": 0.006761}, ""is_forward"": {""AUC"": 0.871088, ""logloss"": 0.005649}, ""is_like"": {""AUC"": 0.928141, ""logloss"": 0.054321}, ""long_view"": {""AUC"": 0.79729, ""logloss"": 0.459923}}"
27,Zenith,KuaiRand_Video_Action,sisa,l40s,14854_27,COMPLETED_MARKER,0:0 (success marker),success_marker,True,True,True,0,True,logs/unirank-sisa-strict-14854_27.out,checkpoints/KuaiRand_Video_Action/SISA_strict_Zenith_KuaiRand_Video_Action_sisa_seed20262027.log,"{""is_click"": {""AUC"": 0.792759, ""logloss"": 0.527799}, ""is_comment"": {""AUC"": 0.901214, ""logloss"": 0.014609}, ""is_follow"": {""AUC"": 0.890208, ""logloss"": 0.006251}, ""is_forward"": {""AUC"": 0.873619, ""logloss"": 0.005596}, ""is_like"": {""AUC"": 0.930466, ""logloss"": 0.053227}, ""long_view"": {""AUC"": 0.810109, ""logloss"": 0.445069}}"
28,Zenith,Taobao_Action,baseline,l40s,14811_28,COMPLETED_MARKER,0:0 (success marker),success_marker,True,True,True,0,True,logs/unirank-sisa-strict-14811_28.out,checkpoints/Taobao_Action/SISA_strict_Zenith_Taobao_Action_baseline_seed20262027.log,"{""buy"": {""AUC"": 0.792465, ""logloss"": 0.006853}, ""cart"": {""AUC"": 0.78248, ""logloss"": 0.019201}, ""fav"": {""AUC"": 0.799847, ""logloss"": 0.014666}, ""is_click"": {""AUC"": 0.622431, ""logloss"": 0.187359}}"
29,Zenith,Taobao_Action,sisa,l40s,14811_29,COMPLETED_MARKER,0:0 (success marker),success_marker,True,True,True,0,True,logs/unirank-sisa-strict-14811_29.out,checkpoints/Taobao_Action/SISA_strict_Zenith_Taobao_Action_sisa_seed20262027.log,"{""buy"": {""AUC"": 0.798329, ""logloss"": 0.006768}, ""cart"": {""AUC"": 0.785999, ""logloss"": 0.019057}, ""fav"": {""AUC"": 0.805541, ""logloss"": 0.014559}, ""is_click"": {""AUC"": 0.619763, ""logloss"": 0.187583}}"
30,Zenith,MerRec_Action,baseline,l40s,14843_30,COMPLETED_MARKER,0:0 (success marker),success_marker,True,True,True,0,True,logs/unirank-sisa-strict-14843_30.out,checkpoints/MerRec_Action/SISA_strict_Zenith_MerRec_Action_baseline_seed20262027.log,"{""Cart"": {""AUC"": 0.806908, ""logloss"": 0.053756}, ""Checkout"": {""AUC"": 0.852295, ""logloss"": 0.010226}, ""Like"": {""AUC"": 0.744505, ""logloss"": 0.329855}, ""Offer"": {""AUC"": 0.773288, ""logloss"": 0.022102}, ""Purchase"": {""AUC"": 0.853223, ""logloss"": 0.006772}}"
31,Zenith,MerRec_Action,sisa,l40s,14846_31,COMPLETED_MARKER,0:0 (success marker),success_marker,True,True,True,0,True,logs/unirank-sisa-strict-14846_31.out,checkpoints/MerRec_Action/SISA_strict_Zenith_MerRec_Action_sisa_seed20262027.log,"{""Cart"": {""AUC"": 0.814763, ""logloss"": 0.053028}, ""Checkout"": {""AUC"": 0.853138, ""logloss"": 0.010215}, ""Like"": {""AUC"": 0.759388, ""logloss"": 0.323222}, ""Offer"": {""AUC"": 0.766747, ""logloss"": 0.022682}, ""Purchase"": {""AUC"": 0.852104, ""logloss"": 0.00688}}"
